enchantment_id,name_zh,description_zh,item_id,quality,price,cooldown_delta_ticks,damage_delta,ammo_delta,source_stall_id,catalog_status
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_brine_cannon,bronze,4,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_brine_cannon,silver,6,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_brine_cannon,gold,9,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_brine_cannon,diamond,12,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_patchwork_ram,bronze,4,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_patchwork_ram,silver,6,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_patchwork_ram,gold,9,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_patchwork_ram,diamond,12,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_signal_flare,silver,6,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_signal_flare,gold,9,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_signal_flare,diamond,12,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_reef_hook,bronze,4,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_reef_hook,silver,6,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_reef_hook,gold,9,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_reef_hook,diamond,12,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_storm_compass,gold,9,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_storm_compass,diamond,12,-1,0,0,stall_mistwake,formal
enchant_tailwind,顺风铭刻,借顺风缩短物品的基础充能时间。,item_abyss_bell,diamond,12,-1,0,0,stall_mistwake,formal
enchant_breaker,破浪铭刻,把破浪冲势转化为明确的伤害增量。,item_brine_cannon,bronze,5,0,2,0,stall_mistwake,formal
enchant_breaker,破浪铭刻,把破浪冲势转化为明确的伤害增量。,item_brine_cannon,silver,7,0,3,0,stall_mistwake,formal
enchant_breaker,破浪铭刻,把破浪冲势转化为明确的伤害增量。,item_brine_cannon,gold,10,0,4,0,stall_mistwake,formal
enchant_breaker,破浪铭刻,把破浪冲势转化为明确的伤害增量。,item_brine_cannon,diamond,13,0,6,0,stall_mistwake,formal
